name,url,description,duration,adaptive_support,remote_support,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/," Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Claims/Operations Supervisor Solution: The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,"Contact Center Customer Service + 8.0: The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/,"Contact Center Manager - Short Form: The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample  tasks for these jobs include, but are not limited…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,"Contact Center Sales & Service + 8.0 : The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Contact Center Sales & Service 8.0 : The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Contact Center Team Lead/Coach - Short Form: The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership  positions who tend to supervise hourly employees…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,Contact Centre Agent Solution - UK: This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Customer Service - Short Form: The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/,Customer Service - Short Form - UK: The Customer Service Representative solution is for entry-level positions that involve  a high degree of interaction with customers in person or on the phone…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,Customer Service with Sales - Short Form: The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,"Director - Short Form: The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,District/Regional Manager Solution: The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,"Entry Level Cashier 7.1 (Americas): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,"Entry Level Cashier 7.1 (International): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Entry Level Customer Service 7.1 (Americas): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Entry Level Customer Service 7.1 (International): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Entry Level Customer Service 7.1 (South Africa): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Entry level Sales 7.1 (Americas): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Event Sales Manager Solution: The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,"Executive - Short Form: The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,Financial Professional - Short Form: This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Financial Services Representative Solution: The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Front Desk Associate Solution: The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,Gaming Associate Solution: The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,"Gaming Manager Solution: The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,General Entry Level - All Industries 7.0 Solution: Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,General Entry Level - All Industries 7.1 Solution: Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,General Entry Level - All Industries 7.1(Americas): Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,General Entry Level – Data Entry 7.0 Solution: Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,"Graduate + 8.0 Job Focused Assessment: The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Graduate 7.1 Job Focused Assessment: The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,"Graduate 8.0 Job Focused Assessment : The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,Guest Service Team 7.0 Solution: Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,Guest Services Associate Solution: The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,"Healthcare Aide 7.0 Solution: Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,Healthcare Call Center Agent Solution: The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment.  Sample tasks for this job include…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,Healthcare Service Associate Solution: The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients.  Sample…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,Healthcare Support Specialist Solution: The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,"Home Health Aide Solution: The Home Health Aide solution is for entry-level positions in an in-home or group home environment.  Sample tasks for this job include, but are not limited to…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,Hospitality Manager Solution: The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,"Host Solution: The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,"Industrial - Entry Level 7.0 Solution: Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,"Industrial - Entry Level 7.1 (Americas): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,"Industrial - Entry Level 7.1 (International): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Industrial - Professional and Skilled 7.0 Solution: Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Industrial - Semi-skilled 7.1 (Americas): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Industrial - Semi-skilled 7.1 (International): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Industrial Professional and Skilled 7.1 (Americas): Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
